course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
ARTH 364,ARTH,364,Electronic Arts History,3 Hours,"Introduces the history of electronic arts since the late 20th century, exploring overlooked works and artists’ resistance to traditional markets. By examining creative practices, and cultural contexts, students gain insight into how technological innovation, fairness and preservation challenges shape the evolving legacy of electronic creativity. The course content focuses on the intersection of artistic concepts, technologies, methods and audiences. Prerequisite: Restricted to Art and Design majors and minors. Not intended for students with Freshman class standing.",Prerequisite: Restricted to Art and Design majors and minors.,,,,,
ARTH 391,ARTH,391,Individual Art History Topics,1 to 4 Hours,"Directed independent research. May be repeated to a maximum of 6 hours. Prerequisite: Junior standing in art and design; and consent of instructor, advisor, and associate director of the School.","Prerequisite: Junior standing in art and design; and consent of instructor, advisor, and associate director of the School.",,,,,
ARTH 402,ARTH,402,Ways of Seeing in Edo Japan,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Focuses on modes of seeing and technologies of vision manifest in the visual arts of Edo Japan, 1615-1868. At the time, imported European instruments of seeing, such as the microscope, made possible unusual visual experiences; revivals of classical Japanese painting manipulated different ways of recreating and visualizing the past. A variety of themes, organized chronologically, will demonstrate the importance of seeing in painting and calligraphy, ceramics, woodblock prints, and architecture. Same as EALC 402. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Junior standing required.",Prerequisite: Junior standing required.,,,,,
ARTH 403,ARTH,403,Word and Image in Chinese Art,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.",Study of the diverse correlations between verbal texts and visual images in Chinese art and art theory from the twelfth through seventeenth centuries. Same as EALC 403. 3 undergraduate hours. 3 or 4 graduate hours.,,,,,,3.22
ARTH 404,ARTH,404,China through Film,"3 Hours
3 undergraduate hours. No graduate credit.","Examines a group of feature films from the 1980s through 2010s that were commercially produced in the People's Republic of China, Hong Kong, Taiwan, and the U.S.A. Our goal is to analyze how these films construct an image of China. Understanding the cultural and historical circumstances under which these films were produced is crucial to accomplishing this goal. But equally important is learning how to watch films and how to write about them. Same as EALC 404. 3 undergraduate hours. No graduate credit. Prerequisite: Restricted to undergraduate students only; junior standing required.",Prerequisite: Restricted to undergraduate students only; junior standing required.,No graduate credit.,,,,
ARTH 407,ARTH,407,Rome: City of Visible History,3 Hours,Same as ARCH 407. See ARCH 407.,,,,,,
ARTH 410,ARTH,410,West African Art and Ideas,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.",Study of West African art styles in chronological and cultural perspectives with a special interest in the use of interdisciplinary source materials. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Junior standing or consent of instructor.,Prerequisite: Junior standing or consent of instructor.,,,,,
ARTH 412,ARTH,412,Medieval Architecture,3 Hours,Same as ARCH 412 and MDVL 412. See ARCH 412.,,,,,,
ARTH 413,ARTH,413,Sacred African Diaspora Arts,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Explores African diaspora arts grounded in the diverse aesthetic, philosophical, historical, political, and religious consciousnesses of peoples of African descent living in the Caribbean and the Americas. Focuses on the preservation and ongoing transformations of African visual and religious cultures surviving in African diaspora communities from the period of the trans-Atlantic slave trade to the present. Same as AFST 421. 3 undergraduate hours. 4 graduate hours.",,,,,,
ARTH 415,ARTH,415,The Archaeology of Greece,3 Hours,Same as CLCV 443. See CLCV 443.,,,,,,
