course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
GWS 255,GWS,255,"Queer Lives, Queer Politics",3 Hours,"Investigates queer lives in relation to dominant ideas about ""deviance"" and ""equal rights."" Drawing on case studies, the course investigates questions related to nation, race, economy, bodies, drugs, health, identities, agency and action as they intersect with contemporary queer politics. Students will learn conceptual and qualitative methods to investigate issues related to queer lives. Same as SOC 255.",,,,,,
GWS 258,GWS,258,Sex in Nature and Culture,3 Hours,Same as ANTH 258. See ANTH 258.,,,,,,
GWS 262,GWS,262,Women's Lives,3 Hours,Same as ANTH 262. See ANTH 262.,,,,,,
GWS 263,GWS,263,History of Medicine in the United States,3 Hours,Same as HIST 263. See HIST 263.,,,"Humanities - Hist & Phil
Cultural Studies - US Minority",,,
GWS 270,GWS,270,Sexuality and Literature,3 Hours,Same as GER 270 and CWL 272. See CWL 272.,,,Humanities - Lit & Arts,,,
GWS 272,GWS,272,Women and Politics,3 Hours,Same as PS 272. See PS 272.,,,,,,
GWS 275,GWS,275,The Politics of Fashion,3 Hours,"Clothing is a medium for fashioning identities from commodities, and it is hardly surprising that political and social tensions are embodied in its fabrications. The politics of dress indicates inseparable links between cultures, aesthetics, and politics, as demonstrated in debates about Muslim practices of veiling, the role of clothing in colonialism’s ""civilizing"" mission, immigrant and ""third world"" sweatshop labor, fashion policing and subcultural style, and the fashion and modeling industries. Clearly manifest throughout these politics is the role of gender, race, nation, and sexuality, as relations of power and as critical factors for social life and creative imagination. This course requires weekly written reflections on the required readings; a written midterm; and a final project, which can be either a research paper or a creative project. The course also requires in-class participation (which will include pop quizzes, group discussion, and other exercises) and one individual or group presentation. The course thus provides students an opportunity to develop their critical skills in both oral and written form. Same as AAS 275.",,,Cultural Studies - US Minority,,,
GWS 280,GWS,280,Women Writers,3 Hours,Same as ENGL 280. See ENGL 280.,,,,,,
GWS 281,GWS,281,Women in the Literary Imagination,3 Hours,Same as ENGL 281. See ENGL 281.,,,,,,
GWS 282,GWS,282,Feminist and Queer Activisms,3 Hours,"From anti-lynching campaigns to Black Lives Matter, Wages for Housework to domestic worker organizing, ACT UP to queer migration politics, this course examines the history of feminist, queer, and anti-racist movements. We will pay particular attention to women of color theorists and activists, and the ways in which they develop interdisciplinary and intersectional approaches to activism and advocacy. Same as AAS 282 and LLS 282.",,,Cultural Studies - US Minority,,,
GWS 285,GWS,285,US Gender History to 1877,3 Hours,Same as HIST 285. See HIST 285.,,,"Humanities - Hist & Phil
Cultural Studies - US Minority",,,
GWS 287,GWS,287,African-American Women,3 Hours,Same as AFRO 287 and HIST 287. See HIST 287.,,,,,,
GWS 288,GWS,288,Global Islam and Feminisms,3 Hours,"Examines gender and sexuality in Muslim-majority societies and diasporas. Introduces students to transnational feminist theories and methodologies in order to examine key issues and debates. Topics include constructions of femininity and masculinity, imperialism and neo-imperialism, Islamic feminisms and exegesis, nationalisms, war and violence, sexuality, diaspora and transnationalism, and race and racialization. Same as AAS 288.",,,Cultural Studies - Non-West,,,
GWS 295,GWS,295,Beginning Topics GWS,3 Hours,Approved for letter and S/U grading. May be repeated in the same term to a maximum of 9 hours; may be repeated in separate terms to a maximum of 12 hours.,,,,,,
GWS 305,GWS,305,"Theories of Race, Gender, and Sexuality",3 Hours,Same as AAS 300 and LLS 305. See AAS 300.,,,Advanced Composition,,,
GWS 315,GWS,315,"War, Memory, and Cinema",3 Hours,Same as AAS 315. See AAS 315.,,,,,,
GWS 316,GWS,316,Global Histories of Gender,3 Hours,Same as HIST 316. See HIST 316.,,,,,,
GWS 317,GWS,317,Gender and Human Rights,3 Hours,"Examines the complex relationship between culture, gender roles, and gender-based human rights and violations. Addresses topics such as the evolution of the human rights framework, strategies and ethical dilemmas of human rights work, and transnational feminist activism. Students will discuss case studies of rights violations and local change-making strategies and will construct a human rights campaign on a gender-based issue. Prerequisite: GWS 100, GWS 201, or GWS 202 are highly recommended.","Prerequisite: GWS 100, GWS 201, or GWS 202 are highly recommended.",,,,,
GWS 320,GWS,320,Gender & Latina/o Migration,3 Hours,Same as LLS 320 and SOC 321. See LLS 320.,,,,,,
GWS 325,GWS,325,Topics in LGBT Lit and Film,3 Hours,Same as ENGL 325. see ENGL 325.,,,,,,
GWS 333,GWS,333,Memoir & Autobiography,3 Hours,"Explores the phenomenon of autobiography in the contemporary world. Students will read theories of autobiography, and ask questions about how writing about the self is gendered, and how representations of the self fare in the outside world. An important aspect of the course will be examinations of how changing media such as film, television talk shows and the Internet shape these representations. Students will be assigned to read and make a presentation on one of the supplementary texts of autobiographies chosen from authors in the First and Third worlds. Same as ENGL 333.",,,,,,
GWS 335,GWS,335,"Film, TV, and Gender",3 Hours,"Examines the history and theory of film, television, and their interrelationship through one or more specific case studies. Topics may include: film and feminist movements; girl films; queer TV; gender, sport and TV. Focuses attention on gender and related issues such as race, ethnicity, sexuality, age, ability and disability, class, and nationality. Addresses issues of representation, narrative, genre, industry, audience, exhibition, media convergence, new and mobile media, and social space. Same as MACS 335.",,,,,,
GWS 337,GWS,337,Interrogating Masculinities,3 Hours,"Explores the social construction of gender as it pertains to masculinities in conjunction with analyses of race, class, gender, ability, and sexuality. Masculinities, in its various forms, shapes and lives of both women and men and this course will examine the construction, reproduction, and impact of masculinities on the institutions of politics, education, work, religion, sports, family, media, and the military to name a few. Paying careful attention to the conjunctions between materiality and culture, this course will interrogate how masculinities shape individual lives, groups, nationalisms, organizations, and institutions and will analyze the ways in which power functions within local transnational contexts. Above all, this course offers a road map for forging new, progressive models of masculinity.",,,,,,
GWS 340,GWS,340,"Gender, Relationshps & Society",3 Hours,Same as HDFS 340 and SOC 322. See HDFS 340.,,,,,,
GWS 343,GWS,343,Criminalization and Punishment,3 Hours,"Same as AAS 343, AFRO 343, AIS 343, and LLS 343. See LLS 343.",,,,,,
GWS 345,GWS,345,Digital & Gender Cultures,3 Hours,"Same as INFO 345, MACS 345, and SOC 345. See MACS 345.",,,,,,
GWS 350,GWS,350,Feminist & Gender Theory,3 Hours,Interdisciplinary survey of feminist and gender theory. Traces developments in feminist theory and LGBT/Q approaches and explores contemporary debates.,,,,,,
GWS 355,GWS,355,Beauty and Culture,3 Hours,"Examines beauty and culture, in particular how tropes, ideologies, and politics bolster the construction of beauty as an aesthetic value. Looks at the ways in which beauty is imagined, visualized, narrated, naturalized, reproduced, privileged, and contested through various venues such as art, performance, philosophy, media, history, and popular culture. Attention will be given to race, class, gender, sexuality, and the implications thereof.",,,,,,
GWS 356,GWS,356,Sex & Gender in Popular Media,3 Hours,Same as MACS 356. See MACS 356.,,,Cultural Studies - Western,,,
GWS 357,GWS,357,Literatures of the Displaced,3 Hours,"Same as AAS 357, AIS 357, ENGL 357, and LLS 357. See LLS 357.",,,,,,
GWS 360,GWS,360,Women and the Visual Arts,3 Hours,Same as ARTH 360. See ARTH 360.,,,,,,
GWS 361,GWS,361,Gender and Women in East Asia,3 Hours,Same as EALC 361. See EALC 361.,,,Advanced Composition,,,
GWS 363,GWS,363,"Gender, Health & Pop Culture",3 Hours,"Aspects of popular culture, including television, magazines, newspapers, social networking sites, and internet sources to name a few, are ways that health information is disseminated. Students will examine how we define health and understand disease as related to popular culture. Discusses how people resist or reinforce these messages about health, well being, fitness, and diet. Also discusses how understandings of race, sexuality and class affect the ways that we think about sickness, health and constructions of gender.",,,,,,
GWS 366,GWS,366,Feminist Disability Studies,3 Hours,"Explores the complex relationship between gender and disability. Approaching disability as a social and political category rather than a strictly medical one, we will ask: how is the language of disability used to produce and police a variety of gender, sexual, and racial identities as non-normative? How might debates over medicine, technology, and the concept of ""natural"" pit gender and disability against one another? How have feminist, queer, and transgender scholarship and activism engaged disability? Prerequisite: One of the following: GWS 100, GWS 201, GWS 202.","Prerequisite: One of the following: GWS 100, GWS 201, GWS 202.",,,,,
GWS 370,GWS,370,Queer Theory,3 Hours,"Traces the development of queer theory as a mode for understanding queer studies methodologies and the changing intellectual landscape of key issues in the field. As part of the course, students will review key concepts and theoretical schools of thought, navigating important debates guiding the field. Theories will engage questions of the social and cultural through topics including race, gender, nation, family, history, identity formation, sexology, the state, and capital. Same as SOC 320. Prerequisite: GWS 100, GWS 201, GWS 202, or consent of instructor.","Prerequisite: GWS 100, GWS 201, GWS 202, or consent of instructor.",,,,,
GWS 376,GWS,376,Children and Youth Literature,3 Hours,"Same as CWL 376, EURO 376, and SCAN 376. See SCAN 376.",,,,,,
