course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
PSYC 413,PSYC,413,Advanced Neuropsychopharmacology,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Up-to-date coverage of research and theory on the mechanisms of action of psychoactive drugs and how their characteristic behavioral effects arise from drug-receptor interactions in multiple brain circuits. The focus is on drugs used in the treatment of psychopathologies such as mood disorders, schizophrenia and attention deficit disorder, as well as on recreationally used drugs that can lead to substance use disorders. Students will read and review current neuroscience literature. Same as NEUR 413. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: PSYC 313 or consent of instructor.",Prerequisite: PSYC 313 or consent of instructor.,,,,,3.28
PSYC 414,PSYC,414,"Brain, Learning, and Memory","3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Conveys a knowledge of current research on the physiological bases of learning and memory; considers a wide range of topics from molecular (e.g., cellular morphological and functional plasticity) to relatively molar (e.g., effects of clinical and experimental brain damage on learning and memory processes). Same as NEUR 414. 3 undergraduate hours. 4 graduate hours. Prerequisite: PSYC 210, MCB 150, or consent of instructor.","Prerequisite: PSYC 210, MCB 150, or consent of instructor.",,,,,3.07
PSYC 416,PSYC,416,African American Psychology,3 or 4 Hours,Same as AFRO 411. See AFRO 411.,,,,,,
PSYC 417,PSYC,417,Neuroscience of Eating & Drinking,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Eating and drinking are critical to survival. Despite complex and redundant mechanisms, aberrant ingestive behaviors occur and can result in extreme body weights. This course is designed to critically probe and review the current understanding of neural and behavioral mechanisms of eating and drinking. Students will learn how eating and drinking are closely related to physical and mental health, and how to apply this knowledge to live a healthier life. Same as FSHN 417, NEUR 417, and NUTR 417. 3 undergraduate hours. 4 graduate hours. Prerequisite: PSYC 100 or equivalent.",Prerequisite: PSYC 100 or equivalent.,,,,,3.40
PSYC 420,PSYC,420,Theories of Psychotherapy,4 Hours,Same as EPSY 420. See EPSY 420.,,,,,,
PSYC 421,PSYC,421,Principles of Psychophysiology,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Theoretical and practical aspects of human psychophysiology; measurement techniques and the application of psychophysiological principles to problems in developmental, clinical, social, and experimental psychology. Same as NEUR 421. 3 undergraduate hours. 4 graduate hours. Prerequisite: PSYC 235, six hours of psychology, and an introductory course in physiology.","Prerequisite: PSYC 235, six hours of psychology, and an introductory course in physiology.",,,,,3.34
PSYC 423,PSYC,423,Language Acquisition,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Survey of theory and research on the acquisition of language, concentrating on the acquisition of a first language by the young child. Same as LING 423 and MACS 423. 3 undergraduate hours. 4 graduate hours. Prerequisite: Six hours of psychology or linguistics above the 100-level, or consent of instructor.","Prerequisite: Six hours of psychology or linguistics above the 100-level, or consent of instructor.",,,,,2.89
PSYC 425,PSYC,425,Psych of Language,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Survey of theory and research in the psychology of language; topics include relation of linguistics and psychology, language development, and influence of language on perception, memory, and thought. 3 undergraduate hours. 4 graduate hours. Credit is not given for both PSYC 425 and LING 425. Prerequisite: Six hours of psychology or consent of instructor.",Prerequisite: Six hours of psychology or consent of instructor.,Credit is not given for both PSYC 425 and LING 425.,,,,3.03
PSYC 427,PSYC,427,Language and the Brain,3 or 4 Hours,Same as LING 427 and SHS 427. See SHS 427.,,,,,,
PSYC 428,PSYC,428,Gender Identity Development,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Psychological processes involved in gender identity development across the lifespan are explored. Emphasizing developmental perspectives, we will examine how social, cultural, biological, and individual factors shape evolving understandings of gender identity from childhood through adulthood. Topics include identity maturation, life-course transitions, influences of family, peers, and media, and the psychological impact of navigating diverse gender identities and roles. 3 undergraduate hours. 4 graduate hours. Prerequisite: PSYC 328 or equivalent background in Psychology with instructor consent.",Prerequisite: PSYC 328 or equivalent background in Psychology with instructor consent.,,,,,
PSYC 432,PSYC,432,Genes and Behavior,3 Hours,"Same as ANTH 432, IB 432 and NEUR 432. See IB 432.",,,,,,
PSYC 433,PSYC,433,Evolutionary Neuroscience,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Current methods, tools, and progress in evolutionary biology and quantitative genetics of brain and behavior of vertebrates. Same as IB 436, NEUR 433, and PHIL 433. 3 undergraduate hours. 4 graduate hours. Prerequisite: IB 150 or PSYC 210.",Prerequisite: IB 150 or PSYC 210.,,,,,3.01
PSYC 443,PSYC,443,Psychophysiology in Ex & Sport,3 or 4 Hours,Same as HK 443. See HK 443.,,,,,,
PSYC 445,PSYC,445,Cognitive Neuroscience Lab,"4 Hours
4 undergraduate hours. 4 graduate hours.","Study of the basic principles underlying scanning of the brain using functional Magnetic Resonance Imaging (fMRI). The lectures introduce how to use an MRI scanner, the basic biophysics that makes functional imaging possible, experimental design for fMRI, and basic data analysis. During the labs, students will get hands on experience analyzing fMRI data. Same as NEUR 445. 4 undergraduate hours. 4 graduate hours. Prerequisite: One of the following: PSYC 204, PSYC 210, PSYC 220, or consent of the instructor. PSYC 235 or equivalent is recommended.","Prerequisite: One of the following: PSYC 204, PSYC 210, PSYC 220, or consent of the instructor.",,,,,3.32
