course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
ENGL 311,ENGL,311,History of the English Language,3 Hours,"Language variation and change from the earliest forms of English to the present day, with emphasis on the rise of Standard English and the social, geographic, and cultural aspects of linguistic change in English. Credit is not given for both ENGL 310 and ENGL 311.",,Credit is not given for both ENGL 310 and ENGL 311.,,,,
ENGL 322,ENGL,322,Dostoevsky,3 Hours,Same as CWL 324 and RUSS 322. See RUSS 322.,,,,,,
ENGL 323,ENGL,323,Tolstoy,3 Hours,Same as CWL 323 and RUSS 323. See RUSS 323.,,,,,,
ENGL 325,ENGL,325,Topics in LGBT Literature and Film,3 Hours,"Explores topics on representations of non-heteronormative sexuality in canonical and recovered historical texts and in contemporary literature, on literature by LGBT authors, and on theories of sexuality that pertain to systems of textual and cultural meaning. Same as GWS 325. May be repeated in separate terms to a maximum of 6 hours, if topics vary.",,,,,,
ENGL 330,ENGL,330,Slavery and Identity,3 Hours,"Explores slavery in the Americas through its representation in literature over time. Using a variety of disciplinary approaches, we will look at the enslaved, the enslavers, and the middle merchants who facilitated the slave trade, and will examine the experience of slavery and the economic, political, religious, and scientific justifications used to maintain it. We will also examine the African cultural traditions from which the slaves emerged and the aspects of it that lent to creation of the new U.S. culture.",,,,,,
ENGL 333,ENGL,333,Memoir & Autobiography,3 Hours,Same as GWS 333. See GWS 333.,,,,,,
ENGL 350,ENGL,350,"Writing about Literature, Text, and Culture",3 Hours,"Writing-intensive, variable-topic course designed to improve English majors' ability to produce clear, well-organized, analytically sound and persuasively argued essays relevant to English studies. Introduces students to research techniques through the examination of critical texts appropriate to the course topic. Prerequisite: Completion of the Composition I requirement; one year of college literature or consent of instructor. For majors only.",Prerequisite: Completion of the Composition I requirement; one year of college literature or consent of instructor.,,Advanced Composition,,,
ENGL 357,ENGL,357,Literatures of the Displaced,3 Hours,"Same as AAS 357, AIS 357, GWS 357, and LLS 357. See LLS 357.",,,,,,
ENGL 359,ENGL,359,Responses to the Holocaust,3 Hours,"Same as CWL 320, JS 320, REL 320, and YDSH 320. See CWL 320.",,,,,,
ENGL 360,ENGL,360,Environmental Writing,3 Hours,Same as ESE 360. See ESE 360.,,,Advanced Composition,,,
ENGL 373,ENGL,373,Special Topics in Film Studies,3 Hours,"Extended investigation of major subjects and issues in cinema and other media; topics vary and typically include studies of author/directors, genres, historical movements, critical approaches, and themes. Same as MACS 373. May be repeated with permission of English advising office to a maximum of 6 hours if topics vary. Prerequisite: One college-level course in film studies or literature.",Prerequisite: One college-level course in film studies or literature.,,,,,
ENGL 378,ENGL,378,Fairy Tales & Gender Formation,3 Hours,Same as GWS 378. See GWS 378.,,,,,,
ENGL 380,ENGL,380,Topics in Writing Studies,3 Hours,"Advanced-level work in the field of Writing Studies. Building upon a traditional disciplinary understanding of writing as rhetoric, this course invites students to call upon sociological, anthropological, and/or ideological approaches to the study of writing in order to understand the myriad ways that writing makes meaning(s). See Class Schedule for topics. May be repeated in separate terms to a maximum of 6 hours. Prerequisite: Completion of the Composition I requirement.",Prerequisite: Completion of the Composition I requirement.,,,,,
ENGL 390,ENGL,390,Advanced Individual Study,3 Hours,Advanced study of selected topics. Approved for both letter and S/U grading. May be repeated in the same or separate terms to a maximum of 6 hours. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,
ENGL 391,ENGL,391,Honors Individual Study,3 Hours,Study of selected topics. Restricted to English and English education majors with a 3.33 average who are working towards the degree with distinction in English or in English education. May be repeated to a maximum of 6 hours. Prerequisite: Enroll in undergraduate advising office.,Prerequisite: Enroll in undergraduate advising office.,,,,,
ENGL 396,ENGL,396,English Honors Seminar,3 Hours,"An open-topic, discussion-oriented seminar aimed at majors who have shown high skill and intensive interest in the area of English studies. May be repeated up to 6 hours in the same term to a maximum of 12 hours. Prerequisite: A 3.33 grade point average or consent of the English Department's Director of Undergraduate Studies. Restricted to English majors.",Prerequisite: A 3.33 grade point average or consent of the English Department's Director of Undergraduate Studies.,,,,,
ENGL 400,ENGL,400,Senior Capstone Seminar,"3 Hours
3 undergraduate hours. No graduate credit.","In this senior-year capstone required for students in the Topics in English concentration of the English major (and optional for those in English and English Teaching concentrations), students will work in dialogue with their classmates and professor to develop a major project of their own design: a single thesis-like paper, an electronic project, or a connected portfolio of smaller projects. Capstone projects will consolidate students' previous study of English and help each student assess what they have learned, bringing their studies to a sense of completion and providing a direction for their future interests. 3 undergraduate hours. No graduate credit. Prerequisite: Restricted to senior English majors.",Prerequisite: Restricted to senior English majors.,No graduate credit.,,,,
ENGL 402,ENGL,402,Descriptive English Grammar,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","An introduction to English linguistics with emphasis on the phonetic, syntactic, and semantic structures of English; language variation, standardization, and change; language legislation and linguistic rights; English as a world language; and the study of language in American schools. Same as BTW 402. 3 undergraduate hours. 4 graduate hours.",,,,,,
ENGL 404,ENGL,404,Engl Grammar for ESL Teachers,3 or 4 Hours,Same as EIL 422. See EIL 422.,,,,,,
ENGL 407,ENGL,407,Introduction to Old English,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Introduction to the form of English spoken and written prior to about AD 1100. Exploring concepts of cultural, historical, and linguistic change, students will learn to read Old English texts in the original. Readings include examples from the prose tradition (e.g., Bede's story of the poet Cædmon and Ælfric's Lives of Saints) as well as poetic texts (e.g., The Dream of the Rood and The Wanderer). Same as MDVL 407. 3 undergraduate hours. 4 graduate hours.",,,,,,
