course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
CWL 275,CWL,275,Masterpieces of East Asian Lit,3 Hours,"[IAI Code: H3908N] A wide-ranging introduction to the literatures of traditional China, Korea, and Japan. Selections from novels, plays, and poems are studied to gain insight into the cultures that produced them and to hone skills in textual analyses. Explores how influential texts have been repackaged and reinterpreted for modern audiences in media such as film and manga. No knowledge of Chinese or Japanese language required. Same as CWL 275.",,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,
CWL 276,CWL,276,Asian Film Genres,3 Hours,Same as EALC 276 and ENGL 276. See ENGL 276.,,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,
CWL 283,CWL,283,Jewish Sacred Literature,3 Hours,Same as REL 283. See REL 283.,,,Humanities - Lit & Arts,,,
CWL 284,CWL,284,Modern Jewish Literature,3 Hours,"Same as ENGL 284, JS 284, and REL 284. See JS 284.",,,,,,
CWL 308,CWL,308,Chinese Popular Literature,3 Hours,Same as EALC 308. See EALC 308.,,,,,,
CWL 311,CWL,311,Japan Lit in Translation I,3 Hours,Same as EALC 305. See EALC 305.,,,,,,
CWL 312,CWL,312,Japan Lit in Translation II,3 Hours,Same as EALC 306. See EALC 306.,,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,
CWL 317,CWL,317,Francophone Worlds,3 Hours,Same as FR 319. See FR 319.,,,,,,
CWL 320,CWL,320,Responses to the Holocaust,3 Hours,"Course introduces a variety of Jewish and non-Jewish responses to the Holocaust created during and after the Second World War (from 1939). The discussion of Holocaust films, miniseries, memoirs, diaries, novels, short stories, poems, and other texts will focus on the unique contribution of those works to our understanding of the Holocaust. In addition, the works and their authors will be situated in their cultural and historical context. Taught in English translation. Same as ENGL 359, JS 320, REL 320, and YDSH 320.",,,,,,2.82
CWL 321,CWL,321,Major Writers,3 Hours,Same as RUSS 320. See RUSS 320.,,,,,,
CWL 322,CWL,322,The Comic Imagination,3 Hours,Same as CLCV 323 and THEA 323. See CLCV 323.,,,"Advanced Composition
Humanities - Lit & Arts
Cultural Studies - Western",,,
CWL 323,CWL,323,Tolstoy,3 Hours,Same as ENGL 323 and RUSS 323. See RUSS 323.,,,,,,
CWL 324,CWL,324,Dostoevsky,3 Hours,Same as ENGL 322 and RUSS 322. See RUSS 322.,,,,,,
CWL 328,CWL,328,Special Topics German Studies,3 Hours,Same as GER 396. See GER 396.,,,,,,
CWL 335,CWL,335,Nabokov,3 Hours,Same as RUSS 335. See RUSS 335.,,,,,,
CWL 350,CWL,350,South Asian Goddesses,3 Hours,Same as REL 350 and SAME 350. See REL 350.,,,,,,
CWL 376,CWL,376,Children and Youth Literature,3 Hours,"Same as EURO 376, GWS 376, and SCAN 376. See SCAN 376.",,,,,,
